population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,9442.396223852256,9969.187083001447,8865.118282546446
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,9671.64970468413,10230.143265351597,9070.941841417589
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,9881.050428961444,10415.430877948538,9320.039967158558
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1983,10682.748131694752,11270.297757449742,10063.706729670635
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1984,11305.683328885687,11916.183938557417,10677.881852334502
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1985,11791.93031254382,12378.047466427875,11147.855653384897
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1986,12153.758593756078,12704.110475557616,11545.342034993757
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1987,12602.195701587016,13082.762465880056,12019.162754183553
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1988,13284.353760853002,13868.089309027313,12694.619540359108
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1989,13584.203560346983,14254.578018046943,12913.584239704307
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1990,14033.077544734317,14683.659332071978,13404.528905224432
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1991,14396.26830558145,15107.515193534715,13716.930846555282
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1992,15114.721741519481,15869.574575182314,14390.271151039105
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1993,15854.358788682326,16685.169661651587,15118.269251609077
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1994,16331.51431508922,17108.8227738112,15554.47442052199
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,16829.97568717392,17551.24400449884,16042.364186515313
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1996,17253.599549737126,18035.988571520335,16515.94419714496
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,17739.488409431284,18555.055651331615,16903.286387004067
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1998,18393.078263716594,19282.526250536113,17415.100868808076
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1999,19131.60927410549,20121.990159498622,18239.686371552532
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2000,19986.704891903148,20927.908605548448,18831.42507837856
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2001,20644.12666333826,21667.11847316814,19507.679733884594
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2002,21180.003866641156,22179.50477328885,20038.228380878012
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2003,22079.103986758775,23116.65936259656,20777.662027170652
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2005,23427.95931948941,24489.943651902664,22064.584956313127
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2004,22911.85702245565,23978.538038568946,21628.361154308026
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2006,24118.32868669012,25231.781044361018,22749.776800584757
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2008,26063.430490430033,27220.340370519898,24600.139703471516
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2007,25097.249937303317,26249.41222830355,23860.86110739398
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2009,26732.85074651971,27913.06747624313,25327.83899844581
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2010,27928.49998962573,29124.581325069234,26416.06130841718
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2011,28998.873252781967,30282.953321871144,27578.856102938204
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2014,31697.946048206366,32943.59660774935,29800.247237653384
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2013,30752.728151707604,32067.8776096688,29056.308246791417
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2012,29720.272362414453,31031.826041632463,28167.791827629408
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2015,32999.420461108246,34448.42292182687,30983.240954215846
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2016,34094.61983779143,35525.636406960504,31911.512264058707
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2017,34589.58499143417,36159.3346652847,32340.7525324684
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2019,36188.49776997733,38030.147669943966,33869.016536186886
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2018,35282.976850623876,36921.23907395845,33079.10582722624
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2020,35974.414270108355,37657.3433176856,33874.12701576352
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2021,36711.85481311169,38403.90717045224,34818.25669054175
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2022,38446.378433639235,40312.386665014885,36169.663552787875
All Population,Deaths,Brazil,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2023,39304.51344656866,41435.1471149083,36576.490863063846
