population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1980,9671.64970468413,10230.143265351597,9070.941841417589
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1980,50423.113235311794,54241.28298044807,46480.52968156177
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1980,40566.942917628985,43977.15563483077,37382.38634760161
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1980,1624.7436803565145,1721.2013517524067,1531.8646682732635
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1980,19840.739118558693,21214.416370706018,18442.509376267775
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1980,1675.8077736414575,1837.159008649806,1546.3365223998146
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1981,19587.95690156312,20816.236744249807,18160.285627192094
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1982,20139.08941018873,21502.478138188555,18749.985399099394
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1983,21943.245926385614,23493.159823657126,20399.74972263314
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1982,47657.184401839375,51183.08358184946,44164.06221155647
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1982,39131.95324131034,42468.00928674311,35829.6215218934
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1982,1635.3601161388603,1736.7925601436168,1540.24309321083
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1983,50456.689772031095,54218.95555639777,47002.1943376766
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1983,41540.355475264434,44880.006475215676,38490.958523039015
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1983,1815.9751237932255,1925.6998610074284,1716.6024571122266
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1981,47821.166638541195,51483.64014370394,44171.93022702327
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1981,38904.65259236876,42127.618469909066,35752.41218914232
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1981,1568.5202981793163,1661.8208564559925,1478.1577010015847
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1984,24143.9014713539,25875.037823685947,22390.675315366287
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1983,10682.748131694752,11270.297757449742,10063.706729670635
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1982,1617.408478161437,1775.2395040815434,1490.9060282503608
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1986,26513.929957932196,28584.545904165756,24296.34704298825
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1985,25349.92294389314,27291.40957751177,23414.693912805924
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1981,1602.7204770095138,1746.9392837181902,1475.8675761809006
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1983,1734.0530556388753,1902.590490726781,1600.6047318155277
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1982,9881.050428961444,10415.430877948538,9320.039967158558
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1984,52958.407418244766,56868.65412952344,49185.61641018842
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1984,43725.75291199359,47021.705689690476,40501.712859318
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1984,1974.3380680084706,2099.906365135033,1855.3490263524159
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1981,9442.396223852256,9969.187083001447,8865.118282546446
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1984,1807.1006544570257,1969.7831580674983,1658.3973070276095
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1987,27329.40792162338,29382.886462593204,25200.695501299157
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1985,52985.07217398142,57160.71188563619,49094.16597948627
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1985,44236.22637629678,47508.26493409077,40964.15996110554
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1985,2034.0117485534226,2171.82741622737,1907.2979242365977
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1988,29439.73468622955,31839.506030358865,26973.736124729963
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,1989,29663.94000836929,32092.604604772176,27187.235011934168
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1984,11305.683328885687,11916.183938557417,10677.881852334502
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1986,1920.0254129955972,2089.7252956081275,1741.6456028968769
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1985,11791.93031254382,12378.047466427875,11147.855653384897
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1986,52859.617294116026,56882.022198345745,48762.105024221586
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1986,43664.195940354024,47128.205567751516,40420.066034700285
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1986,2148.2069698190353,2297.655803431983,2007.397736639139
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1985,1825.9996818747927,1991.0624739690757,1657.195641599535
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,1986,12153.758593756078,12704.110475557616,11545.342034993757
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,1987,53315.48922547733,57518.66539070858,49076.978039276306
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,1987,43459.73616728616,46836.66768222071,40182.89979035608
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,1987,2265.9355408191323,2419.775447207822,2119.262913437848
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,1987,1968.7589475864972,2165.2859557379597,1789.0139664512442
